theme,average_duration_seconds,min_duration_secondst,max_duration_seconds,count
GMV,243.42857142857142,14,2692,35
MAD·AMV,635.56,92,2103,25
MMD·3D,229.55555555555554,12,924,18
MV,251.25641025641025,154,936,39
VOCALOID·UTAU,205.45454545454547,143,341,11
三农,294.18888888888887,23,1107,90
乐评盘点,762.9333333333333,215,1444,15
亲子,104.31818181818181,31,286,22
人力VOCALOID,93.64285714285714,68,180,14
人文历史,1412.095238095238,24,15469,147
仿妆cos,167.58928571428572,10,515,56
健身,312.0416666666667,12,1234,48
出行,688.813829787234,19,7735,188
动漫杂谈,1987.5398230088495,86,39645,113
动物二创,276.875,17,727,32
动物综合,260.27272727272725,160,771,11
单机游戏,983.6240786240786,29,18128,407
原创音乐,180.19230769230768,22,279,26
喵星人,172.7563025210084,10,842,119
国产动画,1290.0,1090,1619,3
国产原创相关,7442.159090909091,31,80339,44
国风舞蹈,116.0,116,116,1
娱乐杂谈,517.4347826086956,51,1282,23
宅舞,144.0,16,295,11
家居房产,361.07894736842104,43,1032,38
小剧场,186.47222222222223,12,1777,216
小宠异宠,215.14285714285714,102,673,7
影视剪辑,546.984496124031,31,11543,129
影视杂谈,2897.978181818182,72,146307,275
房车,837.8,762,884,5
手办·模玩,375.5,134,886,8
手势·网红舞,54.285714285714285,18,92,7
手工,263.93939393939394,19,1148,66
手机游戏,895.7785087719299,14,25390,456
搞笑,269.29931972789115,13,5189,735
摩托车,113.0,101,137,3
改装玩车,1343.3333333333333,896,1716,6
数码,663.1782178217821,16,2417,101
新能源车,627.25,70,1434,24
日常,330.6018957345972,10,3105,422
时尚潮流,289.6,19,958,20
明星综合,1970.4285714285713,41,7774,63
明星舞蹈,153.21052631578948,15,379,19
极客DIY,398.57142857142856,78,933,21
校园学习,2016.4395604395604,23,39546,91
桌游棋牌,1276.0,123,5041,25
汪星人,212.546875,13,1673,64
汽车生活,578.0625,105,1330,32
汽车知识科普,668.625,19,910,8
演奏,153.90625,18,335,32
热点,101.0,12,279,5
特摄,476.63157894736844,106,1446,19
田园美食,450.9714285714286,92,962,35
电子竞技,789.0024213075061,10,16833,413
短片,154.6851851851852,17,657,54
短片·手书,249.5989010989011,10,3633,182
社会,378.09090909090907,53,889,11
社会·美食·旅行,2630.0,2630,2630,1
社科·法律·心理,595.439024390244,63,2193,82
科学·探索·自然,3251.5,3050,3453,2
科学科普,342.58490566037733,49,1202,159
科工机械,346.54545454545456,91,683,11
穿搭,333.3636363636364,11,1588,22
竞技体育,129.02564102564102,20,916,39
篮球,143.28571428571428,45,316,14
粉丝创作,198.85714285714286,72,873,14
绘画,132.32,15,983,75
综合,309.19,12,1905,100
综艺,2431.846153846154,148,8556,13
网络游戏,636.990099009901,13,29013,101
美妆护肤,281.2142857142857,41,2156,42
美食侦探,430.40909090909093,51,1705,220
美食制作,335.81666666666666,41,2670,240
美食测评,537.4857142857143,66,1057,35
美食记录,312.6666666666667,42,1376,108
翻唱,187.91836734693877,15,657,49
职业职场,796.8888888888889,72,1333,18
舞蹈综合,139.52380952380952,36,232,21
街舞,63.4,17,117,10
计算机技术,2268.785714285714,220,14021,14
设计·创意,242.375,42,1010,16
财经商业,497.4736842105263,198,1498,38
购车攻略,338.6666666666667,127,496,3
赛车,375.0,74,761,3
足球,476.6842105263158,14,1152,19
软件应用,390.1,96,741,10
运动文化,1291.0,1291,1291,2
运动综合,176.9047619047619,18,798,21
连载动画,1421.0,1421,1421,4
配音,337.3333333333333,121,686,15
野生动物,265.46666666666664,35,452,15
野生技能协会,262.6875,49,772,16
音乐教学,712.1666666666666,50,1080,6
音乐现场,371.828125,41,2033,64
音乐综合,268.97727272727275,19,2696,44
音游,1602.5,100,3105,2
预告·资讯,228.83333333333334,139,378,6
鬼畜剧场,179.14705882352942,39,907,68
鬼畜调教,122.89285714285714,33,273,56
